player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Lich,Tidehunter,Venomancer,Broodmother,Pugna,Morphling,Clockwerk,Witch Doctor,Warlock,Undying,False
Sniper,Slark,Doom,Undying,Axe,Sand King,Necrophos,Ogre Magi,Bloodseeker,Spectre,False
Windranger,Naga Siren,Faceless Void,Undying,Centaur Warrunner,Crystal Maiden,Night Stalker,Medusa,Techies,Phantom Assassin,False
Sniper,Templar Assassin,Axe,Phantom Lancer,Lich,Bloodseeker,Invoker,Ogre Magi,Drow Ranger,Earthshaker,False
Juggernaut,Axe,Tidehunter,Luna,Jakiro,Legion Commander,Lich,Clinkz,Zeus,Wraith King,False
Legion Commander,Death Prophet,Venomancer,Slark,Earthshaker,Razor,Centaur Warrunner,Treant Protector,Warlock,Underlord,False
Drow Ranger,Phantom Assassin,Pudge,Invoker,Tiny,Sniper,Rubick,Necrophos,Ember Spirit,Techies,True
Pudge,Keeper of the Light,Outworld Devourer,Gyrocopter,Centaur Warrunner,Riki,Spectre,Underlord,Broodmother,Templar Assassin,True
Huskar,Pugna,Phantom Assassin,Warlock,Windranger,Medusa,Sand King,Spectre,Jakiro,Queen of Pain,False
Shadow Fiend,Leshrac,Spirit Breaker,Weaver,Slardar,Treant Protector,Nature's Prophet,Sven,Bounty Hunter,Tinker,True
Skywrath Mage,Pugna,Clockwerk,Lich,Huskar,Invoker,Mirana,Faceless Void,Witch Doctor,Phoenix,True
Lina,Bristleback,Troll Warlord,Broodmother,Axe,Necrophos,Death Prophet,Bloodseeker,Nature's Prophet,Kunkka,False
Necrophos,Pudge,Nature's Prophet,Silencer,Troll Warlord,Sven,Monkey King,Mirana,Storm Spirit,Venomancer,True
Pudge,Lycan,Queen of Pain,Sand King,Kunkka,Dark Seer,Spirit Breaker,Puck,Juggernaut,Lich,False
Disruptor,Dark Seer,Zeus,Alchemist,Treant Protector,Enchantress,Skywrath Mage,Undying,Leshrac,Tiny,True
Vengeful Spirit,Dragon Knight,Oracle,Anti-Mage,Pudge,Alchemist,Puck,Troll Warlord,Enigma,Mirana,True
Storm Spirit,Slardar,Doom,Clinkz,Rubick,Keeper of the Light,Oracle,Weaver,Sniper,Techies,True
Nyx Assassin,Centaur Warrunner,Phantom Lancer,Razor,Windranger,Juggernaut,Sniper,Weaver,Lifestealer,Ursa,False
Spectre,Mirana,Zeus,Silencer,Lone Druid,Pudge,Keeper of the Light,Alchemist,Earthshaker,Clinkz,False
Luna,Ember Spirit,Morphling,Troll Warlord,Puck,Chaos Knight,Legion Commander,Alchemist,Dragon Knight,Skywrath Mage,False
Leshrac,Sniper,Drow Ranger,Venomancer,Skywrath Mage,Outworld Devourer,Earthshaker,Weaver,Pudge,Enchantress,False
Shadow Fiend,Morphling,Vengeful Spirit,Winter Wyvern,Brewmaster,Chaos Knight,Phoenix,Arc Warden,Drow Ranger,Clockwerk,True
Troll Warlord,Puck,Silencer,Bloodseeker,Bounty Hunter,Faceless Void,Ursa,Invoker,Venomancer,Sniper,False
Lion,Sniper,Weaver,Queen of Pain,Wraith King,Necrophos,Silencer,Ursa,Invoker,Bristleback,True
Zeus,Sand King,Medusa,Spirit Breaker,Monkey King,Pudge,Gyrocopter,Doom,Phantom Assassin,Spectre,True
Nature's Prophet,Pudge,Luna,Crystal Maiden,Phantom Assassin,Wraith King,Morphling,Doom,Drow Ranger,Sand King,True
Doom,Arc Warden,Earthshaker,Alchemist,Lifestealer,Viper,Magnus,Ursa,Pugna,Io,False
Anti-Mage,Rubick,Phantom Assassin,Pudge,Kunkka,Necrophos,Lion,Monkey King,Spirit Breaker,Wraith King,False
Lina,Venomancer,Sven,Juggernaut,Slark,Faceless Void,Dark Seer,Tinker,Nyx Assassin,Dragon Knight,False
Bane,Storm Spirit,Bristleback,Naga Siren,Clockwerk,Dragon Knight,Necrophos,Huskar,Venomancer,Sven,True
Techies,Drow Ranger,Leshrac,Storm Spirit,Spirit Breaker,Jakiro,Invoker,Faceless Void,Lich,Juggernaut,False
Windranger,Anti-Mage,Pugna,Clinkz,Mirana,Io,Weaver,Necrophos,Spirit Breaker,Dark Seer,True
Bounty Hunter,Juggernaut,Storm Spirit,Timbersaw,Monkey King,Invoker,Earthshaker,Treant Protector,Troll Warlord,Ancient Apparition,False
Queen of Pain,Tiny,Legion Commander,Silencer,Spirit Breaker,Earthshaker,Anti-Mage,Death Prophet,Keeper of the Light,Mirana,True
Spirit Breaker,Mirana,Lina,Faceless Void,Phoenix,Sniper,Invoker,Pudge,Anti-Mage,Ember Spirit,False
Wraith King,Tidehunter,Zeus,Terrorblade,Pugna,Phantom Assassin,Silencer,Morphling,Jakiro,Kunkka,False
Slark,Jakiro,Alchemist,Slardar,Tinker,Earthshaker,Magnus,Clinkz,Invoker,Wraith King,True
Clinkz,Monkey King,Sniper,Meepo,Venomancer,Lifestealer,Naga Siren,Dragon Knight,Wraith King,Undying,True
Templar Assassin,Disruptor,Night Stalker,Earth Spirit,Necrophos,Sand King,Beastmaster,Clinkz,Spirit Breaker,Nyx Assassin,True
Brewmaster,Undying,Weaver,Clinkz,Pugna,Spirit Breaker,Legion Commander,Sand King,Tiny,Dazzle,False
Bounty Hunter,Earthshaker,Pudge,Clinkz,Drow Ranger,Huskar,Mirana,Crystal Maiden,Shadow Demon,Invoker,True
Dazzle,Doom,Faceless Void,Luna,Abaddon,Dark Seer,Monkey King,Lion,Templar Assassin,Crystal Maiden,True
Naga Siren,Sniper,Zeus,Weaver,Earthshaker,Elder Titan,Ursa,Troll Warlord,Clinkz,Lina,False
Riki,Vengeful Spirit,Spirit Breaker,Lina,Puck,Beastmaster,Storm Spirit,Tusk,Bloodseeker,Silencer,False
Ember Spirit,Tidehunter,Razor,Meepo,Nyx Assassin,Axe,Gyrocopter,Rubick,Huskar,Morphling,True
Pudge,Spectre,Batrider,Ursa,Invoker,Phantom Assassin,Vengeful Spirit,Earth Spirit,Phantom Lancer,Earthshaker,False
Shadow Fiend,Naga Siren,Razor,Ember Spirit,Outworld Devourer,Monkey King,Io,Dragon Knight,Omniknight,Weaver,True
Viper,Sven,Tusk,Windranger,Axe,Troll Warlord,Sniper,Crystal Maiden,Lich,Razor,True
Windranger,Crystal Maiden,Tiny,Dragon Knight,Juggernaut,Wraith King,Tidehunter,Shadow Fiend,Sven,Spirit Breaker,True
Ember Spirit,Vengeful Spirit,Drow Ranger,Lina,Morphling,Huskar,Winter Wyvern,Spectre,Anti-Mage,Doom,True
Phantom Assassin,Lina,Slark,Enchantress,Shadow Fiend,Axe,Bounty Hunter,Broodmother,Doom,Nyx Assassin,True
Venomancer,Sniper,Io,Kunkka,Bristleback,Troll Warlord,Rubick,Tinker,Spirit Breaker,Puck,False
Earthshaker,Invoker,Weaver,Tusk,Sven,Meepo,Sniper,Wraith King,Riki,Jakiro,False
Arc Warden,Gyrocopter,Skywrath Mage,Ursa,Lycan,Slark,Nature's Prophet,Pudge,Death Prophet,Faceless Void,False
Juggernaut,Anti-Mage,Phantom Assassin,Witch Doctor,Bounty Hunter,Razor,Tiny,Sniper,Enchantress,Monkey King,True
Necrophos,Weaver,Sniper,Juggernaut,Omniknight,Phoenix,Underlord,Axe,Visage,Phantom Assassin,True
Windranger,Lich,Juggernaut,Legion Commander,Weaver,Templar Assassin,Venomancer,Lifestealer,Bloodseeker,Drow Ranger,True
Clinkz,Silencer,Keeper of the Light,Outworld Devourer,Faceless Void,Juggernaut,Bloodseeker,Necrophos,Wraith King,Mirana,False
Undying,Bane,Phantom Assassin,Bloodseeker,Kunkka,Luna,Axe,Jakiro,Shadow Fiend,Enchantress,True
Death Prophet,Pudge,Enigma,Necrophos,Kunkka,Windranger,Ursa,Lich,Invoker,Spirit Breaker,True
Tidehunter,Windranger,Dazzle,Leshrac,Legion Commander,Razor,Enigma,Luna,Alchemist,Sven,True
Axe,Bristleback,Rubick,Viper,Storm Spirit,Riki,Sniper,Venomancer,Tidehunter,Nyx Assassin,False
Bane,Dragon Knight,Bounty Hunter,Outworld Devourer,Juggernaut,Anti-Mage,Shadow Fiend,Pugna,Nature's Prophet,Wraith King,True
Tinker,Pudge,Earthshaker,Kunkka,Huskar,Weaver,Arc Warden,Tusk,Jakiro,Monkey King,False
Earthshaker,Silencer,Invoker,Centaur Warrunner,Phantom Assassin,Chaos Knight,Omniknight,Brewmaster,Templar Assassin,Shadow Shaman,False
Kunkka,Phantom Assassin,Enigma,Riki,Juggernaut,Pugna,Treant Protector,Bounty Hunter,Shadow Fiend,Windranger,False
Sven,Morphling,Lifestealer,Bounty Hunter,Jakiro,Invoker,Mirana,Spirit Breaker,Sniper,Tiny,False
Viper,Drow Ranger,Nature's Prophet,Bounty Hunter,Monkey King,Doom,Sven,Necrophos,Jakiro,Earth Spirit,True
Techies,Ursa,Windranger,Puck,Juggernaut,Death Prophet,Rubick,Sven,Crystal Maiden,Nature's Prophet,False
Faceless Void,Sand King,Bounty Hunter,Phantom Lancer,Nature's Prophet,Slardar,Vengeful Spirit,Elder Titan,Dazzle,Luna,False
Weaver,Spirit Breaker,Juggernaut,Slark,Huskar,Medusa,Bloodseeker,Monkey King,Bounty Hunter,Storm Spirit,True
Clockwerk,Sniper,Gyrocopter,Earthshaker,Ember Spirit,Faceless Void,Vengeful Spirit,Drow Ranger,Clinkz,Anti-Mage,False
Invoker,Juggernaut,Ursa,Crystal Maiden,Batrider,Nyx Assassin,Templar Assassin,Timbersaw,Slark,Troll Warlord,True
Anti-Mage,Viper,Earthshaker,Shadow Fiend,Ursa,Phantom Assassin,Dragon Knight,Sniper,Bloodseeker,Jakiro,True
Pudge,Dazzle,Axe,Phantom Assassin,Sven,Vengeful Spirit,Rubick,Spirit Breaker,Arc Warden,Troll Warlord,False
Shadow Fiend,Naga Siren,Ogre Magi,Riki,Drow Ranger,Medusa,Bloodseeker,Terrorblade,Windranger,Ancient Apparition,False
Ancient Apparition,Kunkka,Troll Warlord,Mirana,Pudge,Viper,Necrophos,Clockwerk,Queen of Pain,Sven,False
Mirana,Timbersaw,Phantom Assassin,Bloodseeker,Skywrath Mage,Leshrac,Nyx Assassin,Lone Druid,Faceless Void,Ursa,True
Axe,Legion Commander,Chaos Knight,Skywrath Mage,Phantom Assassin,Tidehunter,Death Prophet,Witch Doctor,Ursa,Zeus,True
Winter Wyvern,Outworld Devourer,Bane,Warlock,Clockwerk,Zeus,Brewmaster,Phantom Lancer,Pugna,Bristleback,False
Razor,Skywrath Mage,Phantom Assassin,Lycan,Riki,Earthshaker,Ogre Magi,Nature's Prophet,Troll Warlord,Monkey King,False
Lycan,Phantom Lancer,Viper,Drow Ranger,Sniper,Oracle,Chaos Knight,Juggernaut,Riki,Tiny,True
Nyx Assassin,Ember Spirit,Pudge,Lion,Spectre,Centaur Warrunner,Ursa,Invoker,Lich,Underlord,True
Bristleback,Lina,Bane,Nyx Assassin,Spirit Breaker,Vengeful Spirit,Viper,Riki,Kunkka,Storm Spirit,False
Bane,Clinkz,Drow Ranger,Bloodseeker,Night Stalker,Lich,Vengeful Spirit,Sniper,Troll Warlord,Venomancer,False
Juggernaut,Omniknight,Lycan,Wraith King,Monkey King,Razor,Death Prophet,Axe,Anti-Mage,Mirana,False
Earthshaker,Kunkka,Shadow Fiend,Pudge,Spectre,Broodmother,Spirit Breaker,Anti-Mage,Jakiro,Invoker,False
Huskar,Sand King,Juggernaut,Leshrac,Warlock,Bane,Puck,Alchemist,Drow Ranger,Legion Commander,False
Pugna,Skywrath Mage,Anti-Mage,Timbersaw,Crystal Maiden,Pudge,Luna,Nature's Prophet,Phoenix,Storm Spirit,True
Warlock,Visage,Abaddon,Spirit Breaker,Luna,Queen of Pain,Night Stalker,Shadow Shaman,Bloodseeker,Magnus,False
Clinkz,Phantom Assassin,Monkey King,Sniper,Nyx Assassin,Huskar,Bloodseeker,Abaddon,Troll Warlord,Ursa,True
Lion,Necrophos,Sven,Bristleback,Queen of Pain,Oracle,Slark,Shadow Fiend,Night Stalker,Phantom Lancer,True
Zeus,Naga Siren,Spectre,Skywrath Mage,Puck,Undying,Viper,Slardar,Arc Warden,Shadow Shaman,True
Faceless Void,Legion Commander,Phantom Assassin,Windranger,Lich,Keeper of the Light,Beastmaster,Oracle,Spectre,Invoker,True
Faceless Void,Mirana,Necrophos,Drow Ranger,Riki,Ancient Apparition,Invoker,Lich,Outworld Devourer,Techies,True
Mirana,Bloodseeker,Sand King,Wraith King,Keeper of the Light,Meepo,Abaddon,Omniknight,Tusk,Tinker,True
Juggernaut,Winter Wyvern,Tinker,Lich,Spirit Breaker,Shadow Shaman,Dark Seer,Death Prophet,Enchantress,Sven,False
Timbersaw,Luna,Phoenix,Enigma,Legion Commander,Omniknight,Keeper of the Light,Riki,Phantom Assassin,Faceless Void,True
Vengeful Spirit,Centaur Warrunner,Phoenix,Pudge,Luna,Anti-Mage,Outworld Devourer,Jakiro,Razor,Zeus,True
Necrophos,Clinkz,Magnus,Lifestealer,Sand King,Ursa,Zeus,Razor,Naga Siren,Windranger,True
Shadow Shaman,Clinkz,Pudge,Slark,Necrophos,Juggernaut,Nature's Prophet,Templar Assassin,Nyx Assassin,Omniknight,True
Faceless Void,Rubick,Anti-Mage,Batrider,Enigma,Arc Warden,Omniknight,Timbersaw,Monkey King,Drow Ranger,False
Winter Wyvern,Spirit Breaker,Brewmaster,Nature's Prophet,Windranger,Timbersaw,Earthshaker,Sven,Lich,Phantom Assassin,False
Pudge,Queen of Pain,Tiny,Mirana,Timbersaw,Sven,Nyx Assassin,Riki,Rubick,Arc Warden,True
Invoker,Rubick,Tiny,Pudge,Spirit Breaker,Chaos Knight,Disruptor,Lifestealer,Night Stalker,Warlock,False
Bloodseeker,Drow Ranger,Chaos Knight,Templar Assassin,Lifestealer,Undying,Alchemist,Mirana,Clinkz,Slardar,False
Alchemist,Morphling,Magnus,Mirana,Bristleback,Slark,Wraith King,Riki,Shadow Fiend,Tidehunter,False
Vengeful Spirit,Clinkz,Crystal Maiden,Batrider,Wraith King,Drow Ranger,Meepo,Razor,Bloodseeker,Nature's Prophet,True
Pugna,Riki,Phantom Assassin,Necrophos,Weaver,Ogre Magi,Sven,Pudge,Windranger,Elder Titan,True
Weaver,Undying,Mirana,Lina,Kunkka,Elder Titan,Arc Warden,Keeper of the Light,Nature's Prophet,Ursa,False
Ursa,Shadow Fiend,Juggernaut,Axe,Phantom Assassin,Zeus,Monkey King,Pudge,Sniper,Nature's Prophet,True
Shadow Shaman,Sniper,Viper,Phantom Lancer,Tiny,Juggernaut,Monkey King,Wraith King,Drow Ranger,Lina,False
Troll Warlord,Axe,Shadow Fiend,Bounty Hunter,Rubick,Invoker,Juggernaut,Kunkka,Pudge,Earthshaker,True
Earth Spirit,Sniper,Wraith King,Invoker,Alchemist,Viper,Queen of Pain,Clinkz,Phantom Assassin,Death Prophet,False
Brewmaster,Jakiro,Gyrocopter,Sand King,Undying,Broodmother,Winter Wyvern,Drow Ranger,Axe,Ursa,True
Phantom Assassin,Nature's Prophet,Axe,Lion,Templar Assassin,Riki,Clinkz,Sniper,Keeper of the Light,Anti-Mage,False
Enchantress,Night Stalker,Pudge,Tusk,Monkey King,Sven,Dark Seer,Phantom Assassin,Zeus,Doom,False
Juggernaut,Pugna,Broodmother,Medusa,Storm Spirit,Queen of Pain,Clockwerk,Lina,Faceless Void,Enigma,True
Razor,Shadow Demon,Tinker,Axe,Spectre,Windranger,Troll Warlord,Kunkka,Zeus,Legion Commander,False
Phantom Assassin,Tiny,Sand King,Pudge,Puck,Shadow Fiend,Weaver,Spirit Breaker,Bristleback,Anti-Mage,True
Shadow Shaman,Viper,Tiny,Huskar,Spirit Breaker,Pudge,Keeper of the Light,Skywrath Mage,Kunkka,Abaddon,True
Troll Warlord,Lion,Viper,Alchemist,Phantom Lancer,Faceless Void,Venomancer,Bloodseeker,Crystal Maiden,Lifestealer,False
Phantom Assassin,Nyx Assassin,Sand King,Shadow Demon,Puck,Mirana,Centaur Warrunner,Necrophos,Skywrath Mage,Dazzle,True
Templar Assassin,Bounty Hunter,Brewmaster,Legion Commander,Earthshaker,Crystal Maiden,Weaver,Lich,Faceless Void,Phantom Assassin,True
Witch Doctor,Phoenix,Broodmother,Slark,Ogre Magi,Terrorblade,Kunkka,Invoker,Alchemist,Troll Warlord,True
Phantom Assassin,Clockwerk,Pugna,Bounty Hunter,Windranger,Shadow Demon,Bristleback,Ember Spirit,Ursa,Bloodseeker,False
Terrorblade,Crystal Maiden,Drow Ranger,Luna,Juggernaut,Storm Spirit,Nature's Prophet,Phantom Lancer,Huskar,Necrophos,True
Death Prophet,Axe,Anti-Mage,Omniknight,Huskar,Templar Assassin,Troll Warlord,Timbersaw,Faceless Void,Venomancer,True
Crystal Maiden,Troll Warlord,Treant Protector,Ursa,Witch Doctor,Ogre Magi,Dazzle,Viper,Lycan,Broodmother,True
Invoker,Timbersaw,Chaos Knight,Dragon Knight,Legion Commander,Necrophos,Pudge,Vengeful Spirit,Monkey King,Phantom Lancer,True
Death Prophet,Dragon Knight,Pugna,Oracle,Spectre,Faceless Void,Undying,Leshrac,Disruptor,Earthshaker,False
Shadow Shaman,Medusa,Magnus,Riki,Viper,Luna,Ogre Magi,Ursa,Slardar,Shadow Fiend,True
Beastmaster,Juggernaut,Sniper,Venomancer,Tidehunter,Dazzle,Disruptor,Chen,Enchantress,Chaos Knight,True
Crystal Maiden,Earthshaker,Outworld Devourer,Riki,Phantom Assassin,Tiny,Queen of Pain,Juggernaut,Warlock,Monkey King,True
Lion,Shadow Shaman,Tinker,Terrorblade,Axe,Treant Protector,Necrophos,Invoker,Ogre Magi,Anti-Mage,True
Bloodseeker,Weaver,Enigma,Io,Arc Warden,Lion,Riki,Vengeful Spirit,Razor,Spectre,True
Phantom Assassin,Rubick,Tiny,Windranger,Skywrath Mage,Viper,Doom,Shadow Shaman,Monkey King,Mirana,False
Sven,Disruptor,Sniper,Sand King,Bristleback,Morphling,Shadow Shaman,Zeus,Magnus,Razor,True
Lycan,Viper,Bounty Hunter,Shadow Shaman,Spirit Breaker,Invoker,Drow Ranger,Bloodseeker,Riki,Nyx Assassin,True
Tinker,Bounty Hunter,Dazzle,Zeus,Phantom Lancer,Queen of Pain,Terrorblade,Pugna,Slardar,Nyx Assassin,False
Underlord,Shadow Fiend,Anti-Mage,Ogre Magi,Enchantress,Bloodseeker,Shadow Shaman,Undying,Juggernaut,Puck,False
Tiny,Sven,Queen of Pain,Weaver,Pudge,Rubick,Vengeful Spirit,Bane,Templar Assassin,Monkey King,True
Bounty Hunter,Nyx Assassin,Underlord,Venomancer,Arc Warden,Riki,Crystal Maiden,Death Prophet,Sven,Earthshaker,False
Witch Doctor,Jakiro,Phantom Assassin,Winter Wyvern,Storm Spirit,Tiny,Bounty Hunter,Outworld Devourer,Queen of Pain,Axe,False
Ancient Apparition,Invoker,Spirit Breaker,Chaos Knight,Faceless Void,Lion,Mirana,Doom,Luna,Queen of Pain,True
Ember Spirit,Spirit Breaker,Pudge,Sven,Jakiro,Weaver,Shadow Fiend,Enchantress,Rubick,Bristleback,True
Venomancer,Kunkka,Witch Doctor,Windranger,Meepo,Sniper,Earthshaker,Monkey King,Ember Spirit,Crystal Maiden,False
Sniper,Spirit Breaker,Riki,Legion Commander,Clockwerk,Invoker,Earthshaker,Skywrath Mage,Sven,Monkey King,True
Huskar,Beastmaster,Mirana,Lion,Phantom Assassin,Bristleback,Silencer,Shadow Shaman,Invoker,Necrophos,True
Death Prophet,Phantom Lancer,Sand King,Night Stalker,Shadow Shaman,Magnus,Bounty Hunter,Chaos Knight,Legion Commander,Venomancer,True
Razor,Drow Ranger,Puck,Zeus,Monkey King,Lion,Venomancer,Magnus,Juggernaut,Alchemist,False
Legion Commander,Juggernaut,Doom,Spirit Breaker,Mirana,Shadow Fiend,Ursa,Lina,Lion,Nature's Prophet,False
Axe,Bristleback,Sniper,Pudge,Meepo,Lone Druid,Phantom Assassin,Sand King,Skywrath Mage,Shadow Fiend,False
Vengeful Spirit,Weaver,Spirit Breaker,Dazzle,Morphling,Invoker,Ogre Magi,Windranger,Ursa,Shadow Fiend,True
Phantom Assassin,Bloodseeker,Axe,Elder Titan,Legion Commander,Pudge,Sven,Brewmaster,Invoker,Troll Warlord,False
Legion Commander,Bristleback,Monkey King,Sniper,Bane,Medusa,Bloodseeker,Troll Warlord,Necrophos,Ember Spirit,True
Night Stalker,Bloodseeker,Timbersaw,Enchantress,Monkey King,Faceless Void,Juggernaut,Crystal Maiden,Slark,Tinker,True
Pudge,Alchemist,Winter Wyvern,Treant Protector,Slardar,Huskar,Terrorblade,Zeus,Pugna,Drow Ranger,True
Pudge,Anti-Mage,Huskar,Tidehunter,Mirana,Alchemist,Invoker,Phantom Assassin,Slark,Shadow Fiend,True
Faceless Void,Alchemist,Lycan,Clockwerk,Ancient Apparition,Leshrac,Jakiro,Enigma,Batrider,Razor,True
Phantom Assassin,Venomancer,Ogre Magi,Leshrac,Spectre,Templar Assassin,Phantom Lancer,Luna,Drow Ranger,Pudge,True
Nyx Assassin,Tiny,Skywrath Mage,Lycan,Io,Zeus,Windranger,Dragon Knight,Faceless Void,Techies,False
Bloodseeker,Sand King,Riki,Dark Seer,Sniper,Timbersaw,Venomancer,Pugna,Tusk,Lion,True
Bounty Hunter,Faceless Void,Juggernaut,Sniper,Jakiro,Kunkka,Phoenix,Monkey King,Luna,Pudge,True
Templar Assassin,Sniper,Drow Ranger,Wraith King,Zeus,Windranger,Luna,Juggernaut,Bloodseeker,Crystal Maiden,False
Sniper,Pugna,Spirit Breaker,Death Prophet,Undying,Keeper of the Light,Earthshaker,Mirana,Lion,Lifestealer,False
Juggernaut,Phantom Assassin,Silencer,Windranger,Pudge,Axe,Shadow Fiend,Enchantress,Slark,Riki,False
Luna,Abaddon,Tidehunter,Tinker,Phantom Assassin,Chaos Knight,Medusa,Tiny,Techies,Huskar,False
Pugna,Ursa,Shadow Shaman,Ogre Magi,Pudge,Ember Spirit,Brewmaster,Venomancer,Shadow Fiend,Lich,False
Necrophos,Venomancer,Razor,Sven,Abaddon,Wraith King,Sniper,Clockwerk,Spirit Breaker,Earthshaker,False
Invoker,Lina,Bristleback,Sniper,Rubick,Anti-Mage,Shadow Fiend,Windranger,Crystal Maiden,Phantom Assassin,True
Nyx Assassin,Morphling,Spirit Breaker,Pudge,Troll Warlord,Spectre,Legion Commander,Invoker,Shadow Fiend,Phoenix,True
Necrophos,Venomancer,Riki,Earthshaker,Huskar,Mirana,Lifestealer,Skywrath Mage,Monkey King,Troll Warlord,False
Sven,Pudge,Undying,Invoker,Witch Doctor,Shadow Fiend,Ember Spirit,Mirana,Elder Titan,Timbersaw,False
Dragon Knight,Brewmaster,Legion Commander,Lifestealer,Earthshaker,Sniper,Mirana,Centaur Warrunner,Beastmaster,Huskar,False
Slark,Sniper,Doom,Phantom Assassin,Legion Commander,Queen of Pain,Pudge,Phoenix,Chaos Knight,Lycan,False
Shadow Fiend,Pudge,Huskar,Wraith King,Rubick,Monkey King,Doom,Underlord,Visage,Timbersaw,True
Shadow Fiend,Spirit Breaker,Crystal Maiden,Ursa,Naga Siren,Brewmaster,Lion,Kunkka,Enchantress,Ember Spirit,True
Anti-Mage,Monkey King,Windranger,Dazzle,Tusk,Witch Doctor,Drow Ranger,Wraith King,Luna,Ursa,True
Night Stalker,Huskar,Phantom Assassin,Shadow Shaman,Drow Ranger,Ursa,Brewmaster,Warlock,Sniper,Mirana,False
Bane,Faceless Void,Zeus,Huskar,Spectre,Keeper of the Light,Sniper,Monkey King,Timbersaw,Sven,True
Juggernaut,Phantom Assassin,Legion Commander,Lich,Dragon Knight,Luna,Bounty Hunter,Spirit Breaker,Queen of Pain,Troll Warlord,False
Oracle,Witch Doctor,Dragon Knight,Templar Assassin,Enigma,Lina,Drow Ranger,Ursa,Tidehunter,Magnus,False
Zeus,Sven,Lina,Medusa,Gyrocopter,Earth Spirit,Bristleback,Troll Warlord,Axe,Phantom Lancer,False
Anti-Mage,Shadow Fiend,Luna,Kunkka,Sand King,Monkey King,Pudge,Phantom Assassin,Elder Titan,Undying,False
Sniper,Centaur Warrunner,Legion Commander,Sven,Jakiro,Phantom Assassin,Ember Spirit,Ogre Magi,Faceless Void,Windranger,False
Monkey King,Shadow Shaman,Phantom Assassin,Jakiro,Timbersaw,Huskar,Luna,Lich,Doom,Shadow Fiend,True
Ancient Apparition,Juggernaut,Pudge,Meepo,Necrophos,Windranger,Underlord,Invoker,Oracle,Sven,True
Razor,Storm Spirit,Axe,Earthshaker,Wraith King,Pugna,Drow Ranger,Leshrac,Zeus,Beastmaster,False
Troll Warlord,Vengeful Spirit,Gyrocopter,Witch Doctor,Ancient Apparition,Puck,Tusk,Shadow Fiend,Bristleback,Outworld Devourer,True
Sniper,Riki,Bloodseeker,Windranger,Chaos Knight,Juggernaut,Anti-Mage,Shadow Fiend,Weaver,Alchemist,True
Weaver,Treant Protector,Sniper,Chaos Knight,Disruptor,Wraith King,Pudge,Bristleback,Windranger,Anti-Mage,True
Leshrac,Sniper,Kunkka,Viper,Lion,Pudge,Death Prophet,Keeper of the Light,Dragon Knight,Necrophos,True
Pugna,Shadow Fiend,Doom,Sand King,Phantom Assassin,Earthshaker,Omniknight,Necrophos,Pudge,Axe,True
Nature's Prophet,Juggernaut,Windranger,Bloodseeker,Night Stalker,Phantom Assassin,Bounty Hunter,Slark,Undying,Luna,True
Huskar,Bristleback,Earthshaker,Queen of Pain,Phantom Assassin,Pudge,Bloodseeker,Ember Spirit,Nature's Prophet,Shadow Fiend,True
Meepo,Night Stalker,Rubick,Shadow Fiend,Riki,Slark,Necrophos,Slardar,Axe,Phoenix,False
Legion Commander,Zeus,Bristleback,Enchantress,Sand King,Spirit Breaker,Tiny,Outworld Devourer,Treant Protector,Visage,True
Riki,Shadow Fiend,Lifestealer,Kunkka,Vengeful Spirit,Ember Spirit,Brewmaster,Pugna,Night Stalker,Death Prophet,True
Windranger,Ogre Magi,Invoker,Rubick,Ursa,Lina,Spirit Breaker,Venomancer,Anti-Mage,Silencer,False
Dragon Knight,Crystal Maiden,Legion Commander,Night Stalker,Clockwerk,Death Prophet,Slardar,Silencer,Bloodseeker,Lifestealer,False
Phantom Lancer,Shadow Demon,Tidehunter,Sven,Clinkz,Meepo,Necrophos,Juggernaut,Ogre Magi,Riki,True
Spectre,Nature's Prophet,Phantom Lancer,Treant Protector,Pudge,Underlord,Night Stalker,Chaos Knight,Warlock,Enigma,True
Earthshaker,Sniper,Phantom Assassin,Lina,Anti-Mage,Underlord,Tinker,Lich,Alchemist,Bloodseeker,True
Gyrocopter,Morphling,Windranger,Lone Druid,Tiny,Warlock,Lycan,Necrophos,Broodmother,Magnus,True
Phantom Lancer,Sand King,Anti-Mage,Mirana,Terrorblade,Visage,Lycan,Shadow Fiend,Spectre,Troll Warlord,True
Sniper,Puck,Clockwerk,Windranger,Storm Spirit,Nature's Prophet,Medusa,Clinkz,Tidehunter,Slark,False
Tiny,Omniknight,Shadow Shaman,Juggernaut,Clockwerk,Zeus,Puck,Razor,Bristleback,Troll Warlord,False
Pudge,Doom,Huskar,Phantom Assassin,Mirana,Lina,Enigma,Weaver,Shadow Fiend,Slark,False
Pudge,Phantom Lancer,Anti-Mage,Ember Spirit,Oracle,Vengeful Spirit,Axe,Faceless Void,Earthshaker,Riki,False
Silencer,Sand King,Mirana,Phantom Lancer,Ember Spirit,Wraith King,Spectre,Medusa,Riki,Storm Spirit,True
Anti-Mage,Sniper,Earthshaker,Clinkz,Viper,Phantom Lancer,Weaver,Invoker,Terrorblade,Dragon Knight,True
Nature's Prophet,Tiny,Sniper,Shadow Demon,Invoker,Jakiro,Monkey King,Centaur Warrunner,Necrophos,Phantom Assassin,False
